,SERRINHA,FAZENDAVISTAALEGRE,CARACARAI,OBIDOS_PORTO,ALTAMIRA,PORTOVELHO,MANACAPURU,ITAPEUA,NAZARATH,TABATINGA
1984-09-15 12:00:00,265012130.0,5960088000.0,132177730.0,17056158000.0,,7017326000.0,11782039000.0,12016385000.0,14341070000.0,14341070000.0
1984-10-16 00:00:00,314225100.0,4275799300.0,81843900.0,14204278000.0,,6436163600.0,11164257000.0,11611539000.0,15916136000.0,15916136000.0
1984-11-15 12:00:00,225999200.0,17281964000.0,42423356.0,30083290000.0,,23064396000.0,17138707000.0,18181566000.0,24973924000.0,24973924000.0
1984-12-16 00:00:00,161410750.0,30831225000.0,44188148.0,53926900000.0,,35637570000.0,31365894000.0,34030084000.0,48822346000.0,48822346000.0
1985-01-16 00:00:00,243217310.0,30634910000.0,28247858.0,50090710000.0,,30252952000.0,19953183000.0,19552340000.0,24619280000.0,24619280000.0
1985-02-14 12:00:00,117277180.0,25665890000.0,10817841.0,37422453000.0,,32962093000.0,15744097000.0,16437573000.0,21167423000.0,21167423000.0
1985-03-16 00:00:00,71758030.0,45361810000.0,4697633.0,65783374000.0,,44203254000.0,24681687000.0,26158344000.0,39587627000.0,39587627000.0
1985-04-15 12:00:00,118981970.0,25126425000.0,4768223.5,44934170000.0,,28543873000.0,24015163000.0,25790597000.0,32537910000.0,32537910000.0
1985-05-16 00:00:00,75207500.0,28594942000.0,33833496.0,49719837000.0,,25958828000.0,20098400000.0,19767140000.0,29950587000.0,29950587000.0
1985-06-15 12:00:00,292373380.0,9922133000.0,101318700.0,29200284000.0,,11640375000.0,18443477000.0,18673656000.0,15532692000.0,15532692000.0
1985-07-16 00:00:00,448208800.0,12597034000.0,184550910.0,21065353000.0,,14512617000.0,9852666000.0,10123322000.0,12337015000.0,12337015000.0
1985-08-16 00:00:00,339751000.0,9007593000.0,289389600.0,16280261000.0,,9595548000.0,7003262000.0,7103646000.0,5940315600.0,5940315600.0
1985-09-15 12:00:00,184592460.0,4580083700.0,183841170.0,8990129000.0,,7489345500.0,4876041000.0,5019364400.0,4269215700.0,4269215700.0
1985-10-16 00:00:00,293028480.0,11946344000.0,96199064.0,16305069000.0,,15337362000.0,7668655600.0,8467703300.0,13613342000.0,13613342000.0
